DateTime,CE pnl,PE pnl,PnL Combined
2024-08-16 11:09:00,1028.0,-2487.0,-1459.0
2024-08-16 11:10:00,922.0,-2123.0,-1201.0
2024-08-16 11:11:00,822.0,-1953.0,-1131.0
2024-08-16 11:12:00,842.0,-1948.0,-1106.0
2024-08-16 11:13:00,713.0,-1648.0,-935.0
2024-08-16 11:14:00,706.0,-1509.0,-803.0
2024-08-16 11:15:00,1013.0,-1984.0,-971.0
2024-08-16 11:16:00,765.0,-1766.0,-1001.0
2024-08-16 11:17:00,876.0,-1777.0,-901.0
2024-08-16 11:18:00,901.0,-1928.0,-1027.0
2024-08-16 11:19:00,885.0,-1885.0,-1000.0
2024-08-16 11:20:00,877.0,-1888.0,-1011.0
2024-08-16 11:21:00,836.0,-1847.0,-1011.0
2024-08-16 11:22:00,507.0,-1309.0,-802.0
2024-08-16 11:23:00,400.0,-1102.0,-702.0
2024-08-16 11:24:00,563.0,-1297.0,-734.0
2024-08-16 11:25:00,592.0,-1302.0,-710.0
2024-08-16 11:26:00,41.0,-737.0,-696.0
2024-08-16 11:27:00,-823.0,-398.0,-1221.0
2024-08-16 11:28:00,-2887.0,520.0,-2367.0
2024-08-16 11:29:00,-3882.0,996.0,-2886.0
2024-08-16 11:30:00,-3451.0,1063.0,-2388.0
2024-08-16 11:31:00,-4181.0,1218.0,-2963.0
2024-08-16 11:32:00,-4649.0,1487.0,-3162.0
2024-08-16 11:33:00,-4782.0,1496.0,-3286.0
2024-08-16 11:34:00,-4818.0,1547.0,-3271.0
2024-08-16 11:35:00,-4898.0,1520.0,-3378.0
2024-08-16 11:36:00,-4395.0,1213.0,-3182.0
2024-08-16 11:37:00,-4158.0,1110.0,-3048.0
2024-08-16 11:38:00,-4027.0,1237.0,-2790.0
2024-08-16 11:39:00,-4336.0,1419.0,-2917.0
2024-08-16 11:40:00,-4123.0,1292.0,-2831.0
2024-08-16 11:41:00,-4292.0,1507.0,-2785.0
2024-08-16 11:42:00,-4227.0,1370.0,-2857.0
2024-08-16 11:43:00,-4203.0,1373.0,-2830.0
2024-08-16 11:44:00,-4368.0,1593.0,-2775.0
2024-08-16 11:45:00,-4663.0,1923.0,-2740.0
2024-08-16 11:46:00,-5527.0,2333.0,-3194.0
2024-08-16 11:47:00,-6057.0,2494.0,-3563.0
2024-08-16 11:48:00,-5950.0,2429.0,-3521.0
2024-08-16 11:49:00,-5936.0,2442.0,-3494.0
2024-08-16 11:50:00,-5871.0,2476.0,-3395.0
2024-08-16 11:51:00,-6024.0,2453.0,-3571.0
2024-08-16 11:52:00,-5749.0,2356.0,-3393.0
2024-08-16 11:53:00,-5470.0,2243.0,-3227.0
2024-08-16 11:54:00,-5643.0,2268.0,-3375.0
2024-08-16 11:55:00,-5795.0,2363.0,-3432.0
2024-08-16 11:56:00,-5720.0,2278.0,-3442.0
2024-08-16 11:57:00,-5634.0,2222.0,-3412.0
2024-08-16 11:58:00,-5696.0,2197.0,-3499.0
2024-08-16 11:59:00,-6218.0,2345.0,-3873.0
2024-08-16 12:00:00,-7122.0,2525.0,-4597.0
2024-08-16 12:01:00,-6803.0,2377.0,-4426.0
2024-08-16 12:02:00,-6746.0,2319.0,-4427.0
2024-08-16 12:03:00,-6900.0,2473.0,-4427.0
2024-08-16 12:04:00,-7546.0,2924.0,-4622.0
2024-08-16 12:05:00,-8807.0,2928.0,-5879.0
2024-08-16 12:06:00,-9055.0,3252.0,-5803.0
2024-08-16 12:07:00,-8815.0,3193.0,-5622.0
2024-08-16 12:08:00,-8968.0,3323.0,-5645.0
2024-08-16 12:09:00,-9497.0,3680.0,-5817.0
2024-08-16 12:10:00,-9855.0,3853.0,-6002.0
2024-08-16 12:11:00,-9724.0,3748.0,-5976.0
2024-08-16 12:12:00,-8532.0,3220.0,-5312.0
2024-08-16 12:13:00,-8756.0,3280.0,-5476.0
2024-08-16 12:14:00,-8742.0,3356.0,-5386.0
2024-08-16 12:15:00,-8785.0,3436.0,-5349.0
2024-08-16 12:16:00,-8796.0,3477.0,-5319.0
2024-08-16 12:17:00,-8827.0,3476.0,-5351.0
2024-08-16 12:18:00,-8016.0,3052.0,-4964.0
2024-08-16 12:19:00,-7320.0,2395.0,-4925.0
2024-08-16 12:20:00,-7609.0,2631.0,-4978.0
2024-08-16 12:21:00,-7715.0,2738.0,-4977.0
2024-08-16 12:22:00,-7533.0,2572.0,-4961.0
2024-08-16 12:23:00,-6995.0,2076.0,-4919.0
2024-08-16 12:24:00,-6719.0,1775.0,-4944.0
2024-08-16 12:25:00,-6764.0,1882.0,-4882.0
2024-08-16 12:26:00,-7165.0,2624.0,-4541.0
2024-08-16 12:27:00,-7599.0,3243.0,-4356.0
2024-08-16 12:28:00,-7748.0,3441.0,-4307.0
2024-08-16 12:29:00,-7569.0,3172.0,-4397.0
2024-08-16 12:30:00,-7536.0,3266.0,-4270.0
2024-08-16 12:31:00,-8556.0,4219.0,-4337.0
2024-08-16 12:32:00,-8835.0,4489.0,-4346.0
2024-08-16 12:33:00,-8440.0,4264.0,-4176.0
2024-08-16 12:34:00,-8145.0,4241.0,-3904.0
