Date,"NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_11,45_pnl_threshold_2846.84.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_13,00_pnl_threshold_3396.91.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,3_time_13,00_pnl_threshold_2430.59.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,4_time_09,30_pnl_threshold_8944.74.csv","NIFTY_candle_5T_range_[50, 50]_delta_0,35_time_10,15_pnl_threshold_5376.32.csv"
2025-01-02,3257.94,3463.57125,2577.4875,981.04125,487.52625
2025-01-09,-299.38875,2641.04625,2031.63,1175.45625,1224.06
2025-01-16,1261.4475,1504.46625,1504.46625,4514.16,4547.80875
2025-01-23,308.06625,-62.43,666.98625,3302.805,2244.73875
2025-01-30,3029.87625,3385.0575,2502.7125,9008.1375,5445.10875
2025-02-06,1908.25125,1306.3125,1306.3125,3321.49875,5415.19875
2025-02-13,1100.68125,-2623.84125,-2623.84125,6738.71625,3018.66
2025-02-20,2532.6225,2203.6125,1362.39375,6271.3725,4357.1325
2025-02-27,1560.5475,1227.79875,1227.79875,3635.55375,2947.62375
2025-03-06,1500.7275,2095.18875,2431.67625,-2394.405,-4384.10625
2025-03-13,2083.9725,536.13,536.13,-2541.09375,285.63375
2025-03-20,-1901.68125,1601.67375,966.08625,-893.66625,-1860.3075
2025-03-27,1489.51125,1209.105,910.005,7961.2875,4091.68125
2025-04-03,1496.98875,1093.20375,1093.20375,2790.59625,3355.1475
2025-04-09,2741.9925,1777.395,1777.395,9053.0025,3968.3025
2025-04-17,3471.04875,-521.3025,-521.3025,-5948.78625,-9537.01875
